"You will be redirected to Chinapay in a few seconds.", "系统将会跳转到中国银联官方在线支付网站进行支付。"
"Customer successfully returned from chinabank","客户从中国银联在线支付页面返回到本站。"
"There was an error occurred during paying process.","中国银联支付操作失败。"
"Payment accepted by Chinapay","通过中国银联在线支付成功。"
"Customer was redirected to Chinapay","客户已经被跳转到银联在线进行支付操作。"
"Customer repay to Chinapay","客户通过银联在线重新支付。"
